0;jogador;posicao;id_jogador;id_equipe;jogador_apelido;altura
1673;Vinicius Dione dos Santos Sossai;AlaPivo;11380;129;Vinicius;1.94
1675;Vinicius de Oliveira Cornélio Pastor;Ala;1007;129;Pastor;1.91
1676;Vinícius Rodrigo Pinto Teló;Ala;986;20;Vinicius Teló;1.91
1677;Vithor Eli Lersch da Silva;Armador;11315;54;Vitinho;1.91
1679;Vitor Alves Benite;AlaArmador;483;2;Benite;1.9
1682;Wagner Carvalho França Mattos;Pivo;203;54;Wagner;1.91
1683;Walter Herrmann Heinrich;AlaPivo;11660;2;Herrmann;2.06
1684;Welington Reginaldo Dos Santos;Armador;366;15;Nezinho;1.91
1685;Wesley Alexandre Sena da Silva;Pivo;1061;13;Sena;1.91
1688;William Fournou Drudi;Pivo;159;19;Drudi;2.02
1689;Worrel Oval Glen Clahar;Armador;11705;23;Clahar;1.78
1690;Átila Sacramento dos Santos;Pivo;399;52;Átila Dos Santos;1.91
1692;Adriano Alves Júnior;Pivo;11312;16;Big;2.08
1693;Alex Ribeiro Garcia;Ala;481;13;Alex;1.9
1694;Alexandre Henrique Santos Pinheiro;Armador;58;23;Xande;1.85
1695;Alexandro da Silva de Oliveira;Ala;147;210;Alex;1.91
1696;Alexey Thiago Pereira Borges;Armador;11138;14;Alexey;1.88
1697;Alvaro Calvo Masa;Ala;824;222;Calvo;2.02
1698;Anderson Eurípedes Ferreira;AlaPivo;81;87;Mosso;2.05
1699;André Luiz Bresolin Góes;Ala;57;87;André;1.95
1700;André Luiz Coimbra Reis Souza Costa;Pivo;11245;3;Coimbra;2.07
1701;André Stefanelli Martins;Ala;447;129;Dedé;1.98
1702;André de Souza Silva;Pivo;85;18;Andrezão;1.91
1703;Antonio Elpidio Ferreira Junior;AlaPivo;558;14;Antonio;2
1705;Arlindo Gomes Baltazar Neto;AlaArmador;23;23;Neto;1.91
1706;Arthur Henrique Stela Bernardi;AlaPivo;11778;19;Arthur;2.07
1707;Arthur José da Luz Casimiro;Pivo;370;18;Arthur;1.91
1708;Arthur Luiz Belchor Silva;Ala;31;3;Arthur;1.97
1709;Arthur Pecos Fernandes da Silva;Armador;1013;17;Arthur Pecos;1.84
1710;Atílio Leonardo Gomes de Mello;Pivo;858;129;Atílio ;2.06
1711;Audrei Parisotto;Ala;40;53;Audrei;1.91
1712;Benzor Simmons;Ala;1041;16;Simmons;1.96
1714;Bruno Irigoyen;Ala;324;14;Bruno;1.98
1715;Bruno José Macedo Ferreira;AlaPivo;11780;19;Bruno;2.02
1716;Bruno Pires Fiorotto;Pivo;484;129;B, Fiorotto;2.08
1717;Caio Aparecido da Silveira Torres;Pivo;598;17;C, Torres;1.91
1718;Caio Roberto Ranches de Souza;Ala;948;129;Caio;1.92
1719;Caleb Franklin Brown;Armador;1011;87;Caleb Brown;1.85
1720;Carlos Alexandre Rodrigues do Nascimento;AlaPivo;482;2;Olivinha;2.03
1721;Cassiano Marinho Bueno;Armador;11747;14;Cassiano;1.85
1722;Cauê Borges dos Santos;AlaArmador;96;14;Cauê;1.9
1723;Cauê Verzola de Freitas;Armador;97;19;Cauê;1.92
1724;Cesar Luiz Fabretti Araujo;AlaPivo;119;19;César;2.02
1725;Christian Mendonça Panunzio;AlaArmador;11675;16;Panunzio;1.9
1726;Christopher Joseph Gradnigo;Ala;11960;23;Gradnigo;2
1727;Corderro L, Bennett;Armador;11954;18;Bennett;1.91
1728;Daniel Almiro Zillmer;Ala;828;23;Gaúcho;1.98
1730;Daniel Machado de Barros Castellar;Pivo;404;129;D, Alemão;2.02
1731;Daniel Nascimento Costa Souza;Pivo;299;19;Daniel Filé;2.07
1732;Daniel Pereira Lorio;Armador;11296;2;Danielzinho;1.91
1734;Danilo Fuzaro Siqueira;AlaArmador;1002;16;Siqueira;1.95
1735;Davi Rossetto de Oliveira;Armador;381;53;Davi;1.81
1736;Deryk Evandro Ramos;Armador;441;3;Deryk;1.91
1737;Desmond Holloway;Ala;1047;18;Holloway;1.91
1738;Dexter Grant Kernich-Drew;Ala;11970;16;Kernich-Drew;2
1740;Diego Pinheiro Da Silva;Ala;39;3;Diego;1.95
1741;Diego Ribeiro dos Santos;AlaArmador;11426;87;Dieguinho;1.91
1742;Diego Santana Conceição;AlaPivo;786;210;Diego;1.98
1744;Douglas Tuchtenhagen Kurtz;Pivo;982;14;Kurtz;2.13
1745;Eduardo Magalhães Machado;AlaArmador;267;53;Duda;1.91
1746;Eduardo Mariano de Oliveira;Ala;140;222;Mariano;1.93
1747;Edwandesson Carvalho;AlaArmador;151;87;Eddy;1.96
1748;Elio Corazza Neto;Armador;433;54;Elinho;1.91
1749;Elivelton dos Santos Soares;Pivo;11307;23;Elivelton;1.82
1750;Eric Arthur Romualdo;Armador;315;129;Tatu;1.85
1751;Erick Rodrigues Camilo;Pivo;369;14;Erick;1.91
1752;Everson Alexandre Resende Lacerda;Pivo;1229;23;Lacerda;2.1
1753;Everson Aparecido Rodrigues;AlaPivo;1225;23;Verson;1.91
1754;Everton Gomes da Silva Oliveira;Pivo;11314;129;Tom;1.91
1755;Fabrício Paulino de Melo;Pivo;11973;23;Fab Melo;1.91
1756;Feliciano Perez Neto;Pivo;600;222;Feliz;1.91
1759;Felipe Taddei;AlaArmador;93;222;Taddei;1.9
1760;Fernando Augusto de Oliveira;Ala;11750;23;Fernando;1.98
1761;Fernando Feres Penna;Armador;449;129;F, Penna;1.89
1762;Fúlvio Chiantia de Assis;Armador;214;3;Fúlvio;1.91
1764;Gabriel Darin Aguirre;Pivo;11958;19;Aguirre;2.08
1767;Gabriel Mendes da Silva;Pivo;11912;23;Gabriel;2.07
1769;Gemerson da Silva Barbosa;AlaPivo;1006;17;Gemerson;1.91
1770;George Frederico Torres Homem Chaia;Armador;530;2;Gegê;1.82
1771;George Lucas Alves de Paula;Armador;11323;18;De Paula;1.96
1772;Gerson do Espírito Santo Júnior;Pivo;11663;54;Gerson;1.91
1773;Guilherme Filipin Alves Pereira;Ala;86;54;Filipin;1.91
1774;Guilherme Frantz Teichmann;AlaPivo;182;129;Teichmann;2.04
1775;Guilherme Giovannoni;AlaPivo;78;3;Giovannoni;1.91
1776;Guilherme Pereira Deodato;Ala;146;129;Gui;1.92
1777;Guilherme Santos;Armador;11764;13;Gui;1.89
1778;Guilherme Santos Hubner;AlaPivo;168;17;Guilherme;2.1
1779;Guilherme Schneider;Ala;341;14;Schneider;1.91
1780;Guilherme Thailan Lessa;AlaArmador;11691;54;Lessa;1.91
1782;Gustavo Santos Pereira Lima;Armador;310;210;Lima;1.91
1783;Gustavo Scaglia de Paula;Ala;1010;18;Scaglia;1.91
1784;Gutemberg Pereira de Souza;Ala;400;210;Guto;1.9
1785;Henrique Cláudio de Oliveira;Armador;11214;87;Henrique;1.88
1786;Henrique Coelho;Armador;711;16;Coelho;1.87
1788;Henrique Macia Alves da Cruz;AlaPivo;420;3;Pilar;1.91
1790;Humberto Luiz Gomes da Silva;AlaArmador;818;18;Humberto G,;1.91
1792;Igor Avelino;Ala;11699;23;Igor;2
1794;Isaac Carmelo Sosa Carrion;Ala;11969;16;Sosa;1.9
1795;Isaac Rafael Gonçalves;Ala;794;14;Isaac;1.92
1796;Jackson Henrique Almeida da Silva;AlaArmador;11795;129;Jackson;1.92
1797;Jamaal Thaddius Smith;Armador;11242;19;Jamaal;1.91
1798;Jason Anthony Smith;Armador;11356;222;Jason Smith;1.88
1799;Jason Michael Robinson;AlaArmador;11955;2;Robinson;1.96
1800;Jefferson Campos;AlaArmador;1058;3;Jefferson;1.91
1801;Jefferson Froehlich Socas;Armador;979;23;J, Socas;1.91
1802;Jefferson William Andrade da Silva Antônio;AlaPivo;154;13;Jefferson;2.07
1803;Jerome Dieu Donne Meyinsse;Pivo;11281;2;Meyinsse;2.07
1804;Jhonatan Luz dos Santos;Ala;26;17;Jhonatan;1.97
1805;Jimmy Dreher de Oliveira;Ala;105;54;Jimmy;1.91
1808;Jorge Guilherme Iglesias Junior;AlaPivo;11730;2;Iglesias;1.91
1809;José Jairo Santos Gonçalves Júnior;Ala;11967;222;Jairo;1.97
1811;José Roberto Nardi Duarte;AlaArmador;134;210;Betinho;1.95
1813;João Paulo Lopes Batista;Pivo;11957;2;Batista;2.06
1815;João Pedro de Moraes Demétrio;AlaPivo;1224;14;João Pedro;2.08
1816;João Phylippe Belmiro Bernardi;AlaPivo;1263;87;João;1.91
1820;Kenny Montrell Dawkins;Armador;797;17;Dawkins;1.8
1821;Larry James Taylor Jr;Armador;192;54;Larry;1.91
1822;Leandro Moraes de Almeida;Pivo;11962;23;Leandro;1.97
1823;Leonardo Bispo de Souza;Pivo;11556;18;Léo Bispo;2.06
1824;Leonardo Degasperi Pegaia;AlaArmador;11382;129;Léo;1.8
1825;Leonardo Demétrio;AlaPivo;823;16;Léo Demétrio;2.08
1826;Leonardo Di Pacce Dos Santos;Pivo;102;18;Morro;1.91
1827;Leonardo Joanes Eltink;Ala;1235;13;Eltink;1.91
1828;Leonardo K, Waszkiewicz;Pivo;782;53;Leonardo;1.91
1829;Leonardo Simões Meindl;Ala;555;13;Léo Meindl;2
1831;Lourival Peres Junior;Ala;1176;16;Loroh;1.92
1833;Lucas Cipolini Alves;Pivo;427;3;Cipolini;2.03
1834;Lucas Dias Silva;Ala;575;18;Lucas;2.07
1835;Lucas Fernandes Mariano;Pivo;448;54;Lucas;2.07
1839;Luis Felipe Gruber;AlaPivo;394;17;Gruber;1.91
1840;Luis Otavio da Silva Vieira;Ala;536;23;Chupeta;1.99
1841;Luiz Felipe Elizeu Mendes Ribeiro;AlaPivo;273;53;Felipe;2
1843;Luiz Gustavo Basílio Timotheo de Oliveira;Ala;11328;19;Gustavo;1.91
1844;Luiz Otavio Guimarães Schwartzman;AlaPivo;816;2;Mingau;2.01
1845;Luiz Paulo Cecílio dos Santos;Pivo;11306;23;Lupa;1.91
1846;Maique Tavares de Oliveira;Pivo;11301;87;Maique;2.11
1847;Marcelo Magalhães Machado;Ala;193;2;Marcelinho;2
1848;Marcos Vinícius Inácio;Pivo;178;210;Marcão;2.05
1849;Marcus Vinicius Urban Toledo Medina;AlaPivo;11316;53;Toledo;1.91
1850;Marcus Vinícius Vieira de Sousa;Ala;367;2;Marquinhos;2.07
1853;Matheus Dalla Barba;Ala;412;19;Matheus Dalla;1.97
1854;Matheus Henrique Pereira;AlaPivo;998;16;Matheus P,;2.02
1855;Matheus Silva Fontes;Pivo;11406;87;Matheus;1.77
1856;Matheus da Silva Nascimento;Ala;11450;87;Matheuzinho;1.91
1857;Matheus dos Prazeres Costa;Armador;30;14;Matheus;1.8
1859;Murilo Becker da Rosa;Pivo;187;13;Murilo;2.08
1860;Murilo Noceti Veloso;Ala;566;87;Murilo;1.91
1861;Márcio da Silva Dornelles;Ala;445;87;Márcio;1.96
1862;Márcio de Mattos Junior;AlaArmador;539;16;Pitico;1.88
1864;Nicolas Rodrigo Dias Ferraz;Ala;11695;129;Nicolas;1.91
1865;Nilson Goulart Santana ;Pivo;1062;222;Nilson;2.05
1866;Pablo Tavares Sueiro Vilela;AlaPivo;1262;87;Pablo;1.91
