"","jogador","id_jogador","jogador..3","jogador_apelido","Temporada","id_equipe","equipe","played_minutes","tried_two_points","made_two_points","lost_two_points","two_points","tried_three_points","made_three_points","lost_three_points","three_points","tried_free_throw_points","made_free_throw_points","lost_free_throw_points","tried_points","lost_points","total_points","offensive_rebounds","defensive_rebounds","total_assists","steals","free_throw_points","correct_two_points_throws","wrong_two_points_throws","two_points_throws_total","wrong_throws","tried_dunk_points","dunk_points","correct_three_points_throws","three_points_throws_total","wrong_three_points_throws","correct_free_throws","wrong_free_throws","total_free_throws","total_rebounds","total_of_blocks","commited_fouls","received_fouls","fouls","total_fouls","total_of_errors","mistakes","pos","exp"
"1831","Pedro Henrique Cavalin de Macedo",567,"Pedro Henrique Cavalin de Macedo","P, Macedo","NBB 9",16,"Minas",271.1333333333,0.22129333661178,0.14752889107452,0.0737644455372601,0.14752889107452,0.586427342021218,0.265552003934136,0.320875338087082,0.265552003934136,0.0663880009835341,0.0479468895992191,0.018441111384315,0.874108679616532,0.413080895008657,0.461027784607876,0.0590115564298081,0.106958446029027,0.0590115564298081,0.0331940004917671,0.0479468895992191,0.0737644455372601,0.0368822227686301,0.11064666830589,0.162281780181972,0.00737644455372601,0.00737644455372601,0.0885173346447121,0.195475780673739,0.106958446029027,0.0479468895992191,0.018441111384315,0.0663880009835341,0.165970002458835,0.018441111384315,0.180722891566287,0.0405704450454931,0.162281780181972,0,0.0405704450454931,0.0331940004917671,"Ala",4
"1832","Pedro Henrique Santos de Souza",11319,"Pedro Henrique Santos de Souza","Pedrão","NBB 9",17,"Paulistano",101.8666666666,0.510471204188816,0.235602094240992,0.274869109947824,0.235602094240992,0.029450261780124,0,0.029450261780124,0,0.107984293193788,0.088350785340372,0.019633507853416,0.647905759162728,0.323952879581364,0.323952879581364,0.107984293193788,0.0981675392670799,0.019633507853416,0.019633507853416,0.088350785340372,0.117801047120496,0.137434554973912,0.255235602094408,0.166884816754036,0.019633507853416,0.019633507853416,0,0.00981675392670799,0.00981675392670799,0.088350785340372,0.019633507853416,0.107984293193788,0.206151832460868,0.029450261780124,0.265052356021116,0.117801047120496,0.225785340314284,0,0.058900523560248,0.058900523560248,"Pivo",1
"1833","Pedro Henrique Wellausen Rava",1018,"Pedro Henrique Wellausen Rava","Pedrinho","NBB 9",2,"Flamengo",332.1166666668,0.120439604556583,0.0421538615948042,0.0782857429617792,0.0421538615948042,0.415516635720213,0.117428614442669,0.298088021277544,0.117428614442669,0.0602198022782917,0.0451648517087188,0.0150549505695729,0.596176042555088,0.391428714808896,0.204747327746192,0.0120439604556583,0.120439604556583,0.0843077231896084,0.0331208912530604,0.0451648517087188,0.0210769307974021,0.0391428714808896,0.0602198022782917,0.153560495809644,0,0,0.0391428714808896,0.138505545240071,0.0993626737591813,0.0451648517087188,0.0150549505695729,0.0602198022782917,0.132483565012242,0.00301099011391458,0.129472574898327,0.0662417825061209,0.126461584784413,0,0.0511868319365479,0.0421538615948042,"Armador",3
"1834","Pedro Mendonça Ferreira da Silva",11430,"Pedro Mendonça Ferreira da Silva","Pedro","NBB 9",3,"Brasília",12.1166666666,0.66024759285095,0,0.66024759285095,0,0.247592847319106,0,0.247592847319106,0,0,0,0,0.907840440170057,0.907840440170057,0,0.0825309491063688,0.247592847319106,0.0825309491063688,0.0825309491063688,0,0,0.330123796425475,0.330123796425475,0.412654745531844,0,0,0,0.0825309491063688,0.0825309491063688,0,0,0,0.330123796425475,0,0.0825309491063688,0.0825309491063688,0.0825309491063688,0,0.0825309491063688,0.0825309491063688,"Armador",3
"1835","Rafael Carlos Stabile Silva",277,"Rafael Carlos Stabile Silva","R, Stabile","NBB 9",210,"Caxias do Sul",707.6666666667,0.26848798869523,0.146961846443705,0.121526142251525,0.146961846443705,0.398492699010815,0.131417804992928,0.267074894017887,0.131417804992928,0.0833725859632556,0.0635892604804492,0.0197833254828064,0.750353273669301,0.408384361752218,0.341968911917082,0.0423928403202995,0.111634479510122,0.0593499764484193,0.0339142722562396,0.0635892604804492,0.0734809232218524,0.0607630711257626,0.134243994347615,0.169571361281198,0.00847856806405989,0.00847856806405989,0.0438059349976428,0.132830899670272,0.0890249646726289,0.0635892604804492,0.0197833254828064,0.0833725859632556,0.154027319830421,0.00423928403202995,0.115873763542152,0.0904380593499722,0.104569006123405,0,0.076307112576539,0.0720678285445091,"Ala",4
"1836","Rafael Fernandes Castellon",803,"Rafael Fernandes Castellon","Castellon","NBB 9",23,"L, Sorocabana",713.9833333333,0.336142300240451,0.165269964284888,0.170872335955562,0.165269964284888,0.592450804173794,0.218492495156293,0.373958309017501,0.218492495156293,0.0728308317187643,0.0518219379537362,0.0210088937650282,1.00142393613301,0.565839538738092,0.435584397394917,0.0406171946123878,0.103643875907472,0.0490207521183991,0.0280118583533709,0.0518219379537362,0.0826349821424441,0.0854361679777812,0.168071150120225,0.23109783141531,0.00840355750601127,0.00840355750601127,0.0728308317187643,0.197483601391265,0.1246527696725,0.0518219379537362,0.0210088937650282,0.0728308317187643,0.14426107051986,0.00140059291766854,0.0672284600480902,0.0742314246364329,0.0560237167067418,0,0.0840355750601127,0.0574243096244103,"Ala",3
"1837","Rafael Ferreira de Sousa",107,"Rafael Ferreira de Sousa","Mineiro","NBB 9",2,"Flamengo",669.3666666665,0.361535780090723,0.19720133459494,0.164334445495783,0.19720133459494,0.16582839500029,0.0537821821622563,0.112046212838034,0.0537821821622563,0.0956127682884557,0.0657337781983133,0.0298789900901424,0.622976943379469,0.30625964842396,0.316717294955509,0.0567700811712705,0.121009909865077,0.0642398286938062,0.0224092425676068,0.0657337781983133,0.0986006672974699,0.0821672227478916,0.180767890045361,0.149394950450712,0.0358547881081709,0.0358547881081709,0.0179273940540854,0.0552761316667634,0.037348737612678,0.0657337781983133,0.0298789900901424,0.0956127682884557,0.177779991036347,0.0179273940540854,0.106070414820005,0.0821672227478916,0.0926248692794414,0,0.0433245356307065,0.0298789900901424,"AlaPivo",9
"1838","Rafael Hettsheimeir",11657,"Rafael Hettsheimeir","Hettsheimeir","NBB 9",13,"Bauru",436.8833333334,0.558501506885811,0.302140159462816,0.256361347422995,0.302140159462816,0.515011635447982,0.226605119597112,0.28840651585087,0.226605119597112,0.137336436119462,0.107580208293578,0.0297562278258834,1.21084957845325,0.574524091099748,0.636325487353506,0.0457788120398206,0.203715713577202,0.0274672872238924,0.0160225842139372,0.107580208293578,0.151070079731408,0.128180673711498,0.279250753442906,0.254072406821004,0.0183115248159282,0.0183115248159282,0.075535039865704,0.171670545149327,0.0961355052836232,0.107580208293578,0.0297562278258834,0.137336436119462,0.249494525617022,0.00457788120398206,0.0572235150497757,0.162514782741363,0.0366230496318565,0,0.0572235150497757,0.0320451684278744,"Pivo",3
"1839","Rafael Moreira da Silva",1023,"Rafael Moreira da Silva","Rafa Moreira","NBB 9",87,"Macaé Basquete",643.75,0.239223300970874,0.118058252427184,0.121165048543689,0.118058252427184,0.521941747572816,0.209708737864078,0.312233009708738,0.209708737864078,0.0528155339805825,0.043495145631068,0.00932038834951456,0.813980582524272,0.442718446601942,0.37126213592233,0.0310679611650485,0.0761165048543689,0.0419417475728155,0.0388349514563107,0.043495145631068,0.0590291262135922,0.0605825242718447,0.119611650485437,0.173980582524272,0,0,0.0699029126213592,0.173980582524272,0.104077669902913,0.043495145631068,0.00932038834951456,0.0528155339805825,0.107184466019417,0.00155339805825243,0.142912621359223,0.0699029126213592,0.135145631067961,0,0.0372815533980583,0.0279611650485437,"Ala",3
"1840","Rafael de Oliveira Silva",716,"Rafael de Oliveira Silva","Rafael","NBB 9",16,"Minas",310.3499999998,0.277106492669745,0.14821975189312,0.128886740776626,0.14821975189312,0.173997100048445,0.0386660222329877,0.135331077815457,0.0386660222329877,0.0644433703883128,0.045110359271819,0.0193330111164938,0.515546963106503,0.283550829708576,0.231996133397926,0.109553729660132,0.109553729660132,0.0579990333494816,0.0483325277912346,0.045110359271819,0.0741098759465598,0.0644433703883128,0.138553246334873,0.128886740776626,0.0128886740776626,0.0128886740776626,0.0128886740776626,0.0579990333494816,0.045110359271819,0.045110359271819,0.0193330111164938,0.0644433703883128,0.219107459320264,0.00644433703883128,0.157886257451366,0.0773320444659754,0.14821975189312,0,0.0515546963106503,0.0354438537135721,"Ala",2
"1841","Ralfi Silva Ansaloni",801,"Ralfi Silva Ansaloni","Ansaloni","NBB 9",18,"Pinheiros",900.0500000001,0.73107049608347,0.346647408477268,0.384423087606201,0.346647408477268,0.0133325926337411,0,0.0133325926337411,0,0.148880617743442,0.0966612965946229,0.0522193211488193,0.893283706460653,0.449975001388762,0.443308705071891,0.073329259485576,0.216654630298293,0.0466640742180938,0.0233320371090469,0.0966612965946229,0.173323704238634,0.192211543803101,0.365535248041735,0.2488750624965,0.0444419754458036,0.0444419754458036,0,0.00444419754458036,0.00444419754458036,0.0966612965946229,0.0522193211488193,0.148880617743442,0.289983889783869,0.0155546914060313,0.116660185545235,0.131103827565121,0.103327592911493,0,0.0633298150102702,0.048886172990384,"Pivo",8
"1842","Rashaun Durrel Mc Lemore",1227,"Rashaun Durrel Mc Lemore","Rashaun","NBB 9",53,"Basq, Cearense",607.65,0.401546943141611,0.177733892865959,0.223813050275652,0.177733892865959,0.449271784744508,0.172796840286349,0.276474944458159,0.172796840286349,0.0855755780465729,0.065827367728133,0.0197482103184399,0.936394305932692,0.520036205052251,0.416358100880441,0.0312679996708632,0.065827367728133,0.060890315148523,0.0312679996708632,0.065827367728133,0.0888669464329795,0.111906525137826,0.200773471570806,0.223813050275652,0.0065827367728133,0.0065827367728133,0.0575989467621164,0.149757261581503,0.0921583148193862,0.065827367728133,0.0197482103184399,0.0855755780465729,0.0970953673989962,0.00164568419320332,0.0625359993417263,0.0921583148193862,0.055953262568913,0,0.0378507364436765,0.0296223154776598,"AlaArmador",5
"1843","Renan Santos Lenz",216,"Renan Santos Lenz","Renan","NBB 9",18,"Pinheiros",946.1500000002,0.34032658669337,0.190244675791325,0.150081910902045,0.190244675791325,0.513660624636577,0.171220208212192,0.342440416424385,0.171220208212192,0.0686994662579784,0.0539026581408754,0.014796808117103,0.922686677587926,0.507319135443533,0.415367542144393,0.0496749986788459,0.0877239338371109,0.0539026581408754,0.0285367013686987,0.0539026581408754,0.0951223378956624,0.0750409554510226,0.170163293346685,0.203984569042921,0.0486180838133386,0.0486180838133386,0.0570734027373975,0.171220208212192,0.114146805474795,0.0539026581408754,0.014796808117103,0.0686994662579784,0.137398932515957,0.0295936162342061,0.13211435818842,0.0613010621994269,0.118374464936824,0,0.038048935158265,0.0274797865031914,"Pivo",5
"1844","Renato Carbonari",145,"Renato Carbonari","Renato","NBB 9",17,"Paulistano",1077.5499999997,0.443598904923329,0.241288107280472,0.202310797642857,0.241288107280472,0.211591109461337,0.0528977773653342,0.158693332096003,0.0528977773653342,0.10950767945806,0.0835228063663172,0.0259848730917431,0.764697693842726,0.386989002830603,0.377708691012123,0.0909470558211009,0.126212240731324,0.0464015590923984,0.0213447171825033,0.0835228063663172,0.120644053640236,0.101155398821429,0.221799452461664,0.180038049278506,0.0278409354554391,0.0278409354554391,0.0176325924551114,0.0705303698204456,0.0528977773653342,0.0835228063663172,0.0259848730917431,0.10950767945806,0.217159296552425,0.0111363741821756,0.0974432740940367,0.110435710639908,0.0798106816389253,0,0.0575379332745741,0.0491856526379423,"AlaPivo",9
