"","predict","Ala","AlaArmador","AlaPivo","Armador","Pivo","X","jogador","id_jogador","Temporada","id_equipe","equipe","jogador_apelido","played_minutes","total_points","lost_points","tried_points","two_points","lost_two_points","tried_two_points","three_points","lost_three_points","free_throw_points","lost_free_throw_points","tried_free_throw_points","tried_three_points","dunk_points","tried_dunk_points","wrong_throws","correct_two_points_throws","two_points_throws_total","wrong_two_points_throws","correct_three_points_throws","three_points_throws_total","wrong_three_points_throws","correct_free_throws","wrong_free_throws","total_free_throws","total_rebounds","offensive_rebounds","defensive_rebounds","total_assists","steals","total_of_blocks","commited_fouls","received_fouls","fouls","total_fouls","total_of_errors","mistakes","total_of_violations","efficiency","plus_minus","altura","posicao"
"1584","Pivo",0.00877053336251095,0.00980843498995552,0.0272309790196736,0.00964715473927565,0.944542897888584,1828,"Leonardo K, Waszkiewicz",782,"NBB 8",53,"Basq, Cearense","Leonardo",520.3166666665,0.342099362567777,0.292129792754506,0.634229155322283,0.257535475191472,0.234472596816117,0.492008072007589,0,0.00576571959383893,0.0845638873763043,0.0518914763445504,0.136455363720855,0.00576571959383893,0.0845638873763043,0.0845638873763043,0.171049681283888,0.128767737595736,0.246004036003794,0.117236298408058,0,0.00192190653127964,0.00192190653127964,0.0845638873763043,0.0518914763445504,0.136455363720855,0.288285979691947,0.0922515135014229,0.196034466190524,0.0230628783753557,0.0192190653127964,0.0672667285947876,0.174893494346448,0.121080111470618,0.147986802908533,0,0.0653448220635079,0.0345943175630336,0.0134533457189575,262,26,1.91,"Pivo"
"1585","Ala",0.568530775599862,0.0411749300541509,0.276063438441989,0.0530006341835406,0.0612302217204568,1829,"Leonardo Simões Meindl",555,"NBB 8",13,"Bauru","Léo Meindl",936.25,0.391989319092123,0.499866488651535,0.891855807743658,0.187983978638184,0.14739652870494,0.335380507343124,0.0929238985313752,0.310814419225634,0.111081441922563,0.0416555407209613,0.152736982643525,0.403738317757009,0.0106809078771696,0.0106809078771696,0.218958611481976,0.0939919893190921,0.167690253671562,0.07369826435247,0.0309746328437917,0.134579439252336,0.103604806408545,0.111081441922563,0.0416555407209613,0.152736982643525,0.189052069425901,0.0630173564753004,0.126034712950601,0.0822429906542056,0.0437917222963952,0.00747663551401869,0.100400534045394,0.134579439252336,0.0865153538050734,0,0.0801068090787717,0.0608811748998665,0.0117489986648865,389,138,2,"Ala"
"1587","Ala",0.594449153006718,0.0353380938744865,0.232880549600708,0.0263228310629829,0.111009372455104,1833,"Lucas Cipolini Alves",427,"NBB 8",3,"Brasília","Cipolini",712.8833333335,0.460103336216665,0.468519860659653,0.928623196876317,0.168330488859755,0.100998293315853,0.269328782175609,0.235662684403658,0.349285764383992,0.0561101629532518,0.0182358029598068,0.0743459659130586,0.58494844878765,0.0504991466579266,0.0504991466579266,0.185163537745731,0.0841652444298777,0.134664391087804,0.0504991466579266,0.0785542281345525,0.19498281626255,0.116428588127997,0.0561101629532518,0.0182358029598068,0.0743459659130586,0.155705702195274,0.0420826222149389,0.113623079980335,0.037874359993445,0.0182358029598068,0.0210413111074694,0.0897762607252029,0.0701377036915647,0.0785542281345525,0,0.061721179248577,0.0504991466579266,0.00701377036915648,318,-94,2.03,"Pivo"
"1588","AlaPivo",0.408388513985461,0.0262943018003573,0.467017508163278,0.0189220019893566,0.0793776740615467,1834,"Lucas Dias Silva",575,"NBB 8",18,"Pinheiros","Lucas",1140.7166666667,0.50143915374836,0.500562511871178,1.00200166561954,0.217407185541247,0.224420320558707,0.441827506099954,0.191984571102956,0.255102786260092,0.092047397104157,0.0210394050523787,0.113086802156536,0.447087357363048,0.0210394050523787,0.0210394050523787,0.218283827418429,0.108703592770623,0.220913753049977,0.112210160279353,0.0639948570343187,0.149029119121016,0.0850342620866974,0.092047397104157,0.0210394050523787,0.113086802156536,0.170945166050577,0.0376956007188452,0.133249565331732,0.0631182151571362,0.0341890332101155,0.0122729862805543,0.0780211270692378,0.103443741507529,0.0718846339289607,0,0.074514559560508,0.0578583638940415,0.0122729862805543,558,138,2.07,"Ala"
"1589","Pivo",0.212640076436063,0.0212707973404331,0.343252241097134,0.0196342414756545,0.403202643650716,1835,"Lucas Fernandes Mariano",448,"NBB 8",54,"Mogi","Lucas",829.7166666663,0.414599361227912,0.560432276078427,0.975031637306339,0.204889219211468,0.171142759576638,0.376031978788106,0.151859068356735,0.350722134061983,0.0578510736597086,0.0385673824398057,0.0964184560995143,0.502581202418719,0.0361569210373179,0.0361569210373179,0.241046140248786,0.102444609605734,0.188015989394053,0.085571379788319,0.050619689452245,0.167527067472906,0.116907378020661,0.0578510736597086,0.0385673824398057,0.0964184560995143,0.200068296406492,0.0831609183858311,0.116907378020661,0.0349516903360739,0.0241046140248786,0.0361569210373179,0.106060301709466,0.0771347648796115,0.0976236868007583,0,0.0566458429584647,0.0313359982323422,0.0192836912199029,342,16,2.07,"Pivo"
"1590","AlaPivo",0.3003083412762,0.0247111259066287,0.408486696581753,0.0210422108599525,0.245451625375466,1839,"Luis Felipe Gruber",394,"NBB 8",17,"Paulistano","Gruber",730.7833333334,0.463885784660254,0.518621570460874,0.982507355121127,0.19157525030217,0.210732775332387,0.402308025634556,0.201154012817278,0.295573243323348,0.0711565215408059,0.0123155518051395,0.0834720733459454,0.496727256140626,0.02736789290031,0.02736789290031,0.216206353912449,0.0957876251510848,0.201154012817278,0.105366387666193,0.0670513376057594,0.165575752046875,0.0985244144411158,0.0711565215408059,0.0123155518051395,0.0834720733459454,0.188838461012139,0.0396834447054494,0.149155016306689,0.0424202339954804,0.0259994982552945,0.030104682190341,0.116313544826317,0.0697881268957904,0.0985244144411158,0,0.0875772572809919,0.0588409697356664,0.0150523410951705,327,82,1.91,"AlaPivo"
"1591","Armador",0.309181092139298,0.112498114630743,0.0751867545377973,0.446736827254622,0.0563972114375396,1840,"Luis Otavio da Silva Vieira",536,"NBB 8",23,"L, Sorocabana","Chupeta",256.1166666668,0.140560942278836,0.452918591787361,0.593479534066197,0.0702804711394181,0.234268237131394,0.304548708270812,0.0117134118565697,0.187414589705115,0.0585670592828484,0.0312357649508525,0.0898028242337009,0.199128001561685,0,0,0.210841413418254,0.035140235569709,0.152274354135406,0.117134118565697,0.00390447061885656,0.0663760005205615,0.062471529901705,0.0585670592828484,0.0312357649508525,0.0898028242337009,0.11322964794684,0.0390447061885656,0.0741849417582747,0.0663760005205615,0.035140235569709,0.00780894123771312,0.199128001561685,0.11322964794684,0.175701177848545,0,0.097611765471414,0.062471529901705,0.0273312943319959,14,-55,1.99,"Ala"
"1592","AlaPivo",0.340157007608341,0.0238117214590186,0.372606072322732,0.0248829825974103,0.238542216012498,1841,"Luiz Felipe Elizeu Mendes Ribeiro",273,"NBB 8",53,"Basq, Cearense","Felipe",563.3833333333,0.410022779043305,0.415347750199711,0.825370529243016,0.156199153921259,0.131349288524695,0.287548442445954,0.197023932787042,0.266248557820328,0.0567996923350032,0.0177499038546885,0.0745495961896917,0.46327249060737,0.0212998846256262,0.0212998846256262,0.172174067390479,0.0780995769606294,0.143774221222977,0.0656746442623475,0.0656746442623475,0.15442416353579,0.0887495192734425,0.0567996923350032,0.0177499038546885,0.0745495961896917,0.204123894328918,0.0567996923350032,0.147324201993915,0.0301748365529705,0.0443747596367213,0.0283998461675016,0.172174067390479,0.0656746442623475,0.156199153921259,0,0.0656746442623475,0.035499807709377,0.0230748750110951,270,96,2,"AlaPivo"
"1593","Ala",0.59130437287438,0.146146170481378,0.10146665244174,0.0986990943266152,0.0623837098758864,1843,"Luiz Gustavo Basílio Timotheo de Oliveira",11328,"NBB 8",19,"São José","Gustavo",451.6833333333,0.305523781410303,0.427290505885423,0.732814287295726,0.18154311649018,0.168259473820167,0.349802590310346,0.0597763920150592,0.23246374672523,0.0642042729050636,0.0265672853400263,0.0907715582450899,0.292240138740289,0,0,0.188184937825186,0.0907715582450899,0.174901295155173,0.0841297369100833,0.0199254640050197,0.0974133795800965,0.0774879155750767,0.0642042729050636,0.0265672853400263,0.0907715582450899,0.119552784030118,0.0531345706800526,0.0664182133500658,0.0398509280100395,0.0442788089000439,0.00221394044500219,0.14169218848014,0.0841297369100833,0.135050367145134,0,0.0420648684550417,0.0265672853400263,0.0132836426700132,127,-78,1.91,"Ala"
"1595","Pivo",0.0135358498794849,0.0142905760099486,0.0349116802923382,0.0140449569180358,0.923216936900193,1845,"Luiz Paulo Cecílio dos Santos",11306,"NBB 8",23,"L, Sorocabana","Lupa",553.9166666667,0.306905370843971,0.278020159470421,0.584925530314392,0.252745599518565,0.245524296675177,0.498269896193742,0,0,0.0541597713254067,0.032495862795244,0.0866556341206507,0,0.0180532571084689,0.0180532571084689,0.155258011132833,0.126372799759282,0.249134948096871,0.122762148337589,0,0,0,0.0541597713254067,0.032495862795244,0.0866556341206507,0.238302993831789,0.124567474048435,0.113735519783354,0.0523544456145598,0.0379118399277847,0.00361065142169378,0.144426056867751,0.0830449826989569,0.131788776891823,0,0.0794343312772632,0.0595757484579474,0.016247931397622,224,-22,1.91,"Pivo"
"1596","Pivo",0.0120331800576607,0.0160386232540457,0.033513975223588,0.0143376604529797,0.924076561011726,1846,"Maique Tavares de Oliveira",11301,"NBB 8",87,"Macaé Basquete","Maique",304.4500000002,0.282476597142202,0.236492034816728,0.51896863195893,0.22335358843802,0.22335358843802,0.446707176876041,0,0,0.0591230087041819,0.0131384463787071,0.072261455082889,0,0.072261455082889,0.072261455082889,0.124815240597717,0.11167679421901,0.22335358843802,0.11167679421901,0,0,0,0.0591230087041819,0.0131384463787071,0.072261455082889,0.233207423222051,0.0985383478403031,0.134669075381748,0.0459845623254748,0.0197076695680606,0.0295615043520909,0.144522910165778,0.0624076202988587,0.131384463787071,0,0.0624076202988587,0.042699950730798,0.0164230579733839,129,-103,2.11,"Pivo"
